State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min Price,Max Price,Modal Price
Kerala,Thirssur,Mattathur,Banana,Palayamthodan,Medium,07/28/2023,1500,2000,1800
Kerala,Thirssur,Mattathur,Banana,Robusta,Medium,07/28/2023,1500,2000,1800
Maharashtra,Pune,Pune,Banana,Other,FAQ,07/28/2023,800,1200,1000
Maharashtra,Pune,Pune(Moshi),Banana,Other,FAQ,07/28/2023,2000,5000,3500
Meghalaya,East Khasi Hills,Shillong,Banana,Banana - Ripe,Large,07/28/2023,2000,4500,3900
Meghalaya,West Garo Hills,Tura,Banana,Champa,Medium,07/28/2023,4000,4200,4100
Nagaland,Mokokchung,Tuli,Banana,Other,Medium,07/28/2023,10000,10200,10100
Punjab,Bhatinda,Bathinda,Banana,Other,Large,07/28/2023,1500,1550,1500
Punjab,Bhatinda,Bhagta Bhai Ka,Banana,Other,Medium,07/28/2023,3500,3500,3500
Punjab,Fatehgarh,Bassi Pathana,Banana,Medium,Medium,07/28/2023,3000,3000,3000
Punjab,Fazilka,Fazilka,Banana,Other,Medium,07/28/2023,2800,3000,2900
Punjab,Fazilka,Jalalabad,Banana,Other,Large,07/28/2023,2400,2600,2500
Punjab,Ferozpur,Mamdot,Banana,Other,Medium,07/28/2023,2400,2600,2500
Punjab,Hoshiarpur,Garh Shankar,Banana,Medium,Medium,07/28/2023,1500,1800,1700
Punjab,Hoshiarpur,Mukerian(Talwara),Banana,Other,Medium,07/28/2023,2000,2600,2300
Punjab,Ropar (Rupnagar),Morinda,Banana,Medium,Medium,07/28/2023,3000,3500,3200
Punjab,Ropar (Rupnagar),Ropar,Banana,Other,Medium,07/28/2023,1600,1900,1800
Punjab,Sangrur,Bhawanigarh,Banana,Other,Medium,07/28/2023,2000,2500,2250
Punjab,Tarntaran,Patti,Banana,Other,Medium,07/28/2023,2500,3000,2800
Rajasthan,Bikaner,Bikaner(F&V),Banana,Other,Medium,07/28/2023,2100,2300,2200
Rajasthan,Jaipur,Jaipur(F&V),Banana,Other,Medium,07/28/2023,2500,3000,2750
Rajasthan,Jalore,Jalore,Banana,Banana - Ripe,Medium,07/28/2023,2600,2800,2700
Rajasthan,Kota,Kota (FV),Banana,Other,Large,07/28/2023,1500,2500,2000
Tamil Nadu,Theni,Chinnamanur,Banana,Poovan,Medium,07/28/2023,2200,2800,2600
Tamil Nadu,Theni,Chinnamanur,Banana,Red Banana,Medium,07/28/2023,4400,4800,4600
Tripura,Sepahijala,Bishramganj,Banana,Champa,Medium,07/28/2023,2000,2500,2500
Tripura,Sepahijala,Melaghar,Banana,Banana - Ripe,Medium,07/28/2023,1800,2300,2000
Uttar Pradesh,Agra,Achnera,Banana,Banana - Ripe,Medium,07/28/2023,2270,2330,2300
Uttar Pradesh,Aligarh,Aligarh,Banana,Banana - Ripe,Medium,07/28/2023,2250,2350,2300
Uttar Pradesh,Aligarh,Charra,Banana,Banana - Ripe,Medium,07/28/2023,2300,2400,2350
Uttar Pradesh,Allahabad,Allahabad,Banana,Banana - Ripe,Medium,07/28/2023,2680,2800,2700
Uttar Pradesh,Allahabad,Jasra,Banana,Banana - Ripe,Medium,07/28/2023,2510,2680,2600
Uttar Pradesh,Auraiya,Auraiya,Banana,Banana - Ripe,Medium,07/28/2023,2350,2750,2550
Uttar Pradesh,Badaun,Shahaswan,Banana,Amruthapani,Medium,07/28/2023,1900,2200,2000
Uttar Pradesh,Ballia,Ballia,Banana,Medium,Medium,07/28/2023,3100,3160,3130
Uttar Pradesh,Ballia,Rasda,Banana,Banana - Ripe,Medium,07/28/2023,3150,3300,3220
Uttar Pradesh,Ballia,Vilthararoad,Banana,Medium,Medium,07/28/2023,1700,1800,1750
